horas_estudo,frequencia_%,atividades_entregues,nota_anterior,nota_final
9.5,76.7,10,7.1,9.72
7.6,79.4,6,5.9,7.19
9.9,92.5,10,6.5,10.0
12.6,91.1,10,8.4,10.0
7.3,84.8,9,6.8,9.08
7.3,86.2,10,6.6,9.39
12.7,97.8,6,4.5,8.14
10.3,79.1,5,7.6,8.0
6.6,90.5,4,7.5,6.86
9.6,83.0,10,9.7,10.0
6.6,82.8,10,6.0,8.11
6.6,96.0,8,6.8,8.62
8.7,93.3,9,6.9,9.29
2.3,93.1,5,8.9,8.45
2.8,98.1,10,6.4,8.67
6.3,85.2,8,6.9,9.33
5.0,91.8,8,7.4,8.4
8.9,81.9,10,6.8,9.78
5.3,88.2,9,5.8,7.86
3.8,83.7,9,6.8,9.59
12.4,86.0,6,8.1,8.96
7.3,91.0,9,5.0,8.67
8.2,76.8,10,6.7,9.61
3.7,100.0,10,5.4,8.95
6.4,74.9,10,8.3,9.39
8.3,72.9,7,4.2,6.85
4.5,96.6,6,5.7,7.45
9.1,92.9,8,7.1,9.43
6.2,91.2,8,8.8,10.0
7.1,91.3,10,6.4,10.0
6.2,84.9,4,5.7,6.25
13.6,76.0,10,9.3,10.0
8.0,85.8,8,4.3,7.72
4.8,78.2,7,3.2,7.53
10.5,94.8,5,7.2,8.37
4.3,83.5,4,5.7,7.18
8.6,76.7,10,5.0,9.54
2.1,81.8,8,7.6,7.57
4.0,89.1,5,6.9,7.55
8.6,79.4,5,5.7,8.16
10.2,76.8,7,4.6,7.4
8.5,87.4,10,7.8,10.0
7.7,87.4,7,7.5,8.49
7.1,79.9,4,6.4,6.27
3.6,80.3,7,9.3,8.16
5.8,87.3,7,4.9,6.58
6.6,70.5,1,4.2,4.41
11.2,70.9,8,5.5,7.87
9.0,77.8,7,6.4,8.4
2.7,82.9,10,6.9,7.51
9.0,88.1,10,6.1,9.78
6.8,99.8,10,7.0,10.0
6.0,93.6,7,4.6,6.27
9.8,83.4,5,8.7,9.18
11.1,84.8,10,6.4,10.0
10.8,75.0,8,8.2,8.91
5.5,84.8,8,7.0,9.45
7.1,82.1,8,7.2,8.98
9.0,88.2,8,7.4,9.01
10.9,76.7,8,7.2,9.25
6.6,90.2,7,7.5,9.06
7.4,100.0,7,8.5,9.81
4.7,83.9,8,6.8,8.47
4.4,89.0,7,7.6,7.74
10.4,91.9,6,6.4,8.83
12.1,81.0,8,8.7,9.5
7.8,87.2,7,5.5,7.9
11.0,85.1,10,9.2,10.0
9.1,86.0,1,6.4,6.06
6.1,77.3,10,4.4,8.5
9.1,85.2,10,6.7,10.0
12.6,90.0,3,5.5,8.0
7.9,99.5,7,7.8,8.85
12.7,94.6,7,5.5,9.07
0.1,100.0,4,5.8,6.78
10.5,77.3,6,3.7,7.02
8.3,93.7,5,5.8,9.16
7.1,86.8,10,2.9,7.92
8.3,100.0,10,4.1,9.13
2.0,76.9,10,7.6,8.24
7.3,76.6,10,7.7,9.57
9.1,79.0,5,7.1,7.85
12.4,63.8,7,5.0,8.18
6.4,79.7,9,6.4,9.1
5.6,77.4,5,6.5,6.41
6.5,86.5,10,4.8,7.6
10.7,88.4,7,8.8,8.97
9.0,100.0,7,7.8,10.0
6.4,94.5,10,6.2,8.68
9.5,79.2,9,6.5,7.88
8.3,76.0,7,6.8,8.45
10.9,89.9,10,3.4,10.0
5.9,71.8,5,6.1,6.56
7.0,100.0,10,5.5,9.87
6.8,96.8,9,5.0,8.68
3.6,80.3,7,6.1,7.06
8.9,67.9,9,9.2,10.0
8.8,98.5,5,7.5,8.63
8.0,83.9,10,5.6,9.16
7.3,97.4,8,7.4,9.66
3.8,69.1,7,8.6,7.43
6.7,79.0,10,7.9,10.0
7.0,85.1,6,6.6,7.76
5.6,85.5,4,5.5,5.97
7.5,80.5,4,7.5,7.84
9.2,91.2,10,7.1,9.64
13.7,74.3,5,7.8,9.0
8.5,83.6,10,7.5,9.9
8.8,86.2,3,8.1,8.54
7.8,90.1,10,5.7,9.51
2.2,92.1,9,8.5,9.08
7.9,73.8,8,6.8,8.88
8.2,69.7,7,9.6,10.0
15.4,97.8,9,5.5,10.0
7.4,88.3,8,9.1,9.92
8.9,77.5,10,6.8,8.65
7.9,100.0,8,5.5,8.23
4.5,86.2,8,5.8,7.56
11.4,96.8,7,6.0,8.95
10.3,85.7,8,7.1,9.38
10.4,100.0,9,7.3,10.0
5.3,100.0,4,5.6,7.31
12.2,82.5,5,6.5,8.36
3.8,94.7,10,9.7,10.0
9.8,91.5,8,9.1,10.0
14.6,98.7,8,7.2,9.7
5.0,75.4,8,6.6,7.21
6.3,91.9,9,6.7,9.0
8.3,95.6,7,7.4,8.55
6.5,67.4,6,5.0,6.69
3.3,73.2,8,6.1,8.07
8.2,64.6,6,4.0,6.86
4.8,82.3,9,7.1,8.47
9.4,92.2,4,7.5,9.23
5.2,100.0,10,5.8,9.24
12.6,85.7,9,8.9,10.0
5.7,100.0,9,4.7,8.01
7.0,71.2,10,4.3,7.51
10.4,68.0,10,6.8,9.15
4.3,84.4,10,8.1,9.47
8.7,88.8,3,9.0,8.5
11.9,84.7,5,5.8,8.14
3.2,64.3,6,8.1,7.22
8.6,84.1,8,6.4,9.49
8.8,72.0,9,6.2,9.16
10.3,91.7,6,7.8,8.47
4.3,88.7,8,7.5,7.04
4.0,75.6,6,4.1,6.35
9.6,79.9,6,8.7,8.31
8.9,74.4,4,8.6,7.88
8.8,84.4,6,5.6,7.03
9.0,94.6,5,7.1,7.45
6.0,75.1,6,7.2,7.88
8.7,90.0,10,6.9,10.0
8.9,79.7,6,5.7,7.27
5.9,77.1,10,5.5,6.67
13.6,83.9,9,6.5,9.81
9.4,74.6,8,8.3,9.62
4.4,79.5,6,7.3,6.57
10.0,73.0,10,5.9,9.2
5.1,100.0,7,7.7,8.9
10.4,85.4,8,2.2,7.64
11.5,78.0,10,8.2,10.0
5.5,87.1,8,3.9,6.56
10.9,83.9,10,6.0,10.0
9.2,82.8,6,4.8,7.33
10.5,91.1,8,4.6,8.57
13.7,92.6,10,8.2,10.0
7.3,79.7,6,5.8,7.08
5.7,79.2,10,7.0,8.45
5.3,82.2,10,6.4,8.65
5.6,62.0,7,7.2,8.31
7.8,69.8,10,6.6,8.0
9.0,98.7,10,4.6,8.34
